OrderID,ProductID,CustomerID,SalesPersonID,OrderDate,ShipDate,OrderStatus,ShipAddress,BillAddress,Quantity,Sales,CreationTime
1,101,2,3,01-01-2025,05-01-2025,Delivered,9833 Mt. Dias Blv.,1226 Shoe St.,1,10,34:56.0
2,102,3,3,05-01-2025,10-01-2025,Shipped,250 Race Court,,1,15,22:04.0
3,101,1,5,10-01-2025,25-01-2025,Delivered,8157 W. Book,8157 W. Book,2,20,24:08.0
4,105,1,3,20-01-2025,25-01-2025,Shipped,5724 Victory Lane,,2,60,50:33.0
5,104,2,5,01-02-2025,05-02-2025,Delivered,,,1,25,02:41.0
6,104,3,5,05-02-2025,10-02-2025,Delivered,1792 Belmont Rd.,,2,50,34:57.0
7,102,1,1,15-02-2025,27-02-2025,Delivered,136 Balboa Court,,2,30,22:01.0
8,101,4,3,18-02-2025,27-02-2025,Shipped,2947 Vine Lane,4311 Clay Rd,3,90,45:22.0
9,101,2,3,10-03-2025,15-03-2025,Shipped,3768 Door Way 1,,2,20,59:04.0
10,102,3,5,15-03-2025,20-03-2025,Shipped,,,0,60,25:15.0
